date,home_team,Home Team Goals,away_team,Away Team Goals,Home Team Initials,Away Team Initials
1994-09-21,Chile,1,Bolivia,2,CHI,BOL
1994-09-21,Ecuador,0,Peru,0,ECU,PER
1994-09-22,Malaysia,0,Kuwait,2,MAS,KUW
1994-09-24,Australia,0,Kuwait,0,AUS,KUW
1994-09-25,Zambia,3,Ghana,0,ZAM,GHA
1994-09-27,Japan,0,Australia,0,JPN,AUS
1994-10-08,Armenia,0,Cyprus,0,ARM,CYP
1994-10-08,Estonia,0,Italy,2,EST,ITA
1994-10-08,France,0,Romania,0,FRA,ROU
1994-10-09,Croatia,2,Lithuania,0,CRO,LTU
1994-10-09,Latvia,1,Portugal,3,LVA,POR
1994-10-09,Senegal,3,Niger,1,SEN,NIG
1994-10-09,Zambia,2,Malawi,1,ZAM,MWI
1994-10-12,Austria,1,Northern Ireland,2,AUT,NIR
1994-10-12,Belarus,2,Luxembourg,0,BLR,LUX
1994-10-12,Bulgaria,2,Georgia,0,BUL,GEO
1994-10-12,Denmark,3,Belgium,1,DEN,BEL
1994-10-12,England,1,Romania,1,ENG,ROU
1994-10-12,Greece,4,Finland,0,GRE,FIN
1994-10-12,Hungary,0,Germany,0,HUN,GER
